NO3_4mM_1	NO3_4mM_2	NO3_12mM_1	NO3_12mM_2
HaLaN_01692	0	0	10.432088	11.845793
HaLaN_01695	0	0	2.539514	9.359152
HaLaN_01697	0	0	13.777806	22.101032
HaLaN_01700	0	0	8.082295	8.858485
HaLaN_01703	0	0	31.963648	33.427925
HaLaN_01711	91.217918	95.866356	46.07621	45.015877
HaLaN_01714	73.925003	10.58343	17.932236	18.551477
HaLaN_01715	0	0	31.576849	32.626007
HaLaN_01717	0	0	30.50635	40.669647
HaLaN_01718	0	0	15.92333	12.49377
HaLaN_01721	0	0	3.760004	5.613751
HaLaN_01725	0	0	3.458004	4.431053
HaLaN_01727	27.761086	313.620361	91.727547	53.215496
HaLaN_01731	0	0	12.99615	8.151111
HaLaN_01734	0	0	8.456042	9.873458
HaLaN_01735	0	0	1.643794	1.455741
HaLaN_01740	0	0	5.966166	7.946035
HaLaN_01743	0	0	12.784709	7.443281
HaLaN_01744	0	0	23.641644	30.035219
HaLaN_01754	0	0	11.36655	9.008013
HaLaN_01756	0	0	66.378815	39.049107
HaLaN_01762	0	0	273.388519	182.395325
HaLaN_01764	588.676086	783.618103	39.120274	39.603756
HaLaN_01765	0	0	6.351754	3.747404
HaLaN_01766	0	0	53.28685	42.384308
HaLaN_01767	0	0	29.867851	28.737429
HaLaN_01768	0	0	19.291737	27.758444
HaLaN_01773	0	0	3.420739	6.980717
HaLaN_01779	0	0	21.504114	26.68051
HaLaN_01780	0	0	10.850004	15.592477
HaLaN_01783	169.78891	404.753754	0	0
HaLaN_01792	0	0	8.672835	8.640371
HaLaN_01796	0	0	19.332943	4.662701
HaLaN_01799	0	0	5.759335	3.31377
HaLaN_01800	0	0	19.100946	5.497381
HaLaN_01802	75.330238	93.13192	117.653786	94.603073
HaLaN_01808	0	0	1.198579	3.756167
HaLaN_01811	0	0	25.824255	28.460402
HaLaN_01814	0	0	42.502316	36.073833
HaLaN_01817	0	0	21.824543	19.488432
HaLaN_01818	224.699249	199.971939	223.871536	214.29512
HaLaN_01823	31.595291	48.940979	21.915699	3.438129
HaLaN_01830	0	0	13.519536	16.798832
HaLaN_01831	47.695225	59.631336	33.26804	29.096071
HaLaN_01832	72.283279	74.812126	43.357456	50.664486
HaLaN_01834	0	0	1.303171	5.840111
HaLaN_01838	0	0	6.903892	10.976176
HaLaN_01839	0	0	52.185925	65.825333
HaLaN_01843	0	0	27.996737	21.945478
HaLaN_01865	0	0	4.231077	7.769962
